,AEX,ATX,BEL 20,BIST 100,Bovespa,BSE Sensex 30,Budapest SE,CAC 40,CBOE Volatility Index,COLCAP,CSE All-Share,DAX,Dow Jones Industrial Average,Dow Jones Shanghai,Euro Stoxx 50,FTSE 100,FTSE China A50,FTSE MIB,Hang Seng,HNX 30,IBEX 35,IDX Composite,KOSPI,MOEX Russia,NASDAQ Composite,Nifty 50,Nikkei 225,OMX Stockholm 30,PSI 20,RTSI,Russell 2000,S&P 500,S&P CLX IPSA,S&P Lima General,S&P Merval,S&P_ASX 200,S&P_BMV INMEX,S&P_BMV IPC CompMx,S&P_BMV IPC,S&P_TSX,Shanghai Composite,SMI,SZSE Component,TA 35,Tadawul,Taiwan Weighted,WIG20
KOSPI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91930253,0,0,0,0,0,0,0,0,0,0,0,0,1.737135825,0,0,0,0,0,0,0,0,0,0,0,0.873364395
MOEX Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904709164,0,0,0,0,0,0,0,0,0,0,0,0.86068476,0,0.800391555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NASDAQ Composite,0.567341261,0.872255056,0.570731329,0,0.654075507,0,0.695235717,0.525668593,1.989875838,0,0,0.605166852,0.26577735,0,0.547798253,0.814486573,0,0.613042535,0,0,0.63813918,0,0,0,0,0,0,0.816520548,0.698834109,0,0.429832368,0.143385043,0,0.953040839,0,0,0.652702464,0.62901629,0.630299083,0.597494981,0,0.5808181,0,0,0,1.770422248,0.913979403
Nifty 50,0,0,0,0,0,0.080586122,0,0,0,0,0.974510122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.805370516,0
Nikkei 225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904317019,0,0,0,0,0.948392461,0,0,0,0,0,0,0,0,0,0,0.920758116,0,0,0.508823583,0,0,0,0,0,0,0,0,0,0.85957054,0
OMX Stockholm 30,0.335381099,0.516108995,0.439934407,0,0.883774577,0,0.709250171,0.401184151,1.799596925,0,0.92987447,0.395259325,0.715463146,0,0.364016261,0.42713272,0,0.303838256,0,0,0.319331444,0,0,0.86068476,0.816520548,0,0,0,0.52364426,0.751137978,0.851633612,0.781681512,0.919122254,0,0,0,0,0,0,0.911130881,0,0.384429101,0,0,0,0,0.721593746
PSI 20,0.388602266,0.510153724,0.45374015,0,0.844578572,0,0.728651595,0.41778557,1.861092486,0,0,0.425988651,0.579976029,0,0.367762794,0.553824355,0,0.388136857,0,0,0.352870799,0.97498549,0,0,0.698834109,0,0,0.52364426,0,0,0.740739955,0.673679826,0.864175495,0.867117009,0,0,0.794933048,0.808624154,0.815288193,0.979050924,0,0.41786228,0,0,0,0,0.74063041
RTSI,0.849426041,0.930204679,0.823082139,0,0,0,0,0.852383695,0,0,0.92470729,0.941631109,0.949737996,0,0.89732487,0.775530395,0,0.831825027,0,0,0.838678993,0,0,0.800391555,0,0,0,0.751137978,0,0,0,0.959835168,0,0,0,0,0,0,0,0.855060379,0,0.824048573,0.945319634,0,0,0,0
Russell 2000,0.636631484,0.810564698,0.601412573,0,0.794102413,0,0.562164923,0.625813667,1.976440972,0,0,0.593076634,0.430730473,0,0.59776261,0.896458651,0,0.692738156,0,0,0.706093591,0,0,0,0.429832368,0,0,0.851633612,0.740739955,0,0,0.439400425,0.877876127,0.771099543,0,0,0.861573955,0.837171071,0.841529519,0.585982323,0,0.577558257,0,0,0,1.797211501,0.90966391
S&P 500,0.520810491,0.823605916,0.512621475,0,0.593670712,0,0.6714817,0.473671489,1.988444247,0,0,0.588595198,0.158575789,0,0.511822515,0.727454778,0,0.574953695,0,0,0.603488861,0,0,0,0.143385043,0,0,0.781681512,0.673679826,0.959835168,0.439400425,0,0,0.894530496,0,0,0.58247183,0.568162953,0.569001078,0.527487025,0,0.541214975,0,0,0,1.755087843,0.860100402
S&P CLX IPSA,0.879040204,0.571785514,0.786780298,0,0.955658831,0,0.637439564,0.934266301,0,0,0,0.78205942,0.932628167,0.78354034,0.877333324,0.921817218,0.808195051,0.863743855,0,0,0.88500616,0.832150174,0,0,0,0,0.920758116,0.919122254,0.864175495,0,0.877876127,0,0,0.697846509,0,0.972145963,0.993638663,0,0,0,0.763230248,0.910193016,0,0,0,0,0.799387405
S&P Lima General,0.827839011,0.752812214,0.786840872,0.869412446,0.916370753,0,0.600774687,0.884678086,1.789281921,0,0,0.84588843,0.779949777,0,0.85757917,0.852541218,0,0.909557981,0,0,0.944339395,0.728942708,0,0,0.953040839,0,0,0,0.867117009,0,0.771099543,0.894530496,0.697846509,0,0,0,0.886856181,0.88870119,0.895866312,0.912108158,0,0.853732596,0,0,0,0,0.60448942
S&P Merval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.737135825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989697833,0.985398959,0.980525078,0,0,0,0,0,0,0,0
S&P_ASX 200,0,0.86879669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930390405,0,0,0,0,0,0,0,0,0,0,0.508823583,0,0,0,0,0,0.972145963,0,0,0,0,0,0,0,0,0,0,0,0,0.824600401,0
S&P_BMV INMEX,0.795254582,0.876714333,0.727330593,0,0.631029419,0,0.896105881,0.758366127,1.8732086,0,0,0.88744284,0.554659955,0,0.814895379,0.794265291,0,0.807773233,0,0,0.829813526,0.936450813,0,0,0.652702464,0,0,0,0.794933048,0,0.861573955,0.58247183,0.993638663,0.886856181,0.989697833,0,0,0.113795189,0.110132529,0.894140048,0,0.860845032,0,0,0,0,0.900438783
S&P_BMV IPC CompMx,0.804211979,0.910017088,0.750672334,0,0.689250733,0,0.905982547,0.777376017,1.880407648,0,0,0.910614092,0.555701223,0,0.834471413,0.826402568,0,0.82742867,0,0,0.848657235,0.991969546,0,0,0.62901629,0,0,0,0.808624154,0,0.837171071,0.568162953,0,0.88870119,0.985398959,0,0.113795189,0,0.015928887,0.885710554,0,0.859560579,0,0,0,0,0.941180202
S&P_BMV IPC,0.807941232,0.914893593,0.755786132,0,0.686417031,0,0.909371767,0.781942095,1.879489621,0,0,0.914268708,0.558276371,0,0.839021331,0.827280854,0,0.831341711,0,0,0.853164731,0.994736966,0,0,0.630299083,0,0,0,0.815288193,0,0.841529519,0.569001078,0,0.895866312,0.980525078,0,0.110132529,0.015928887,0,0.885376048,0,0.864978306,0,0,0,0,0.944097987
S&P_TSX,0.757766619,0,0.741773752,0,0.855172959,0,0.844410891,0.717741815,1.930118201,0,0,0.848945656,0.553445318,0,0.768704756,0.867871796,0,0.837539346,0,0,0.861380671,0,0,0,0.597494981,0,0,0.911130881,0.979050924,0.855060379,0.585982323,0.527487025,0,0.912108158,0,0,0.894140048,0.885710554,0.885376048,0,0,0.705152963,0,0,0,1.862539536,0.993869045
Shanghai Composite,0,0,0,0,0,0,0,0,0,0,0.935579846,0,0,0.080111596,0,0,0.565018906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763230248,0,0,0,0,0,0,0,0,0,0.482814602,0,0,0,0
SMI,0.220481831,0.55561754,0.282500124,0,0.844511795,0,0.639844034,0.232358421,1.906142255,0,0,0.375979464,0.477034469,0,0.242416344,0.50444647,0,0.262668042,0,0,0.254610847,0,0,0,0.5808181,0,0,0.384429101,0.41786228,0.824048573,0.577558257,0.541214975,0.910193016,0.853732596,0,0,0.860845032,0.859560579,0.864978306,0.705152963,0,0,0,0,0,0,0.777847043
SZSE Component,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489583621,0,0,0.900954232,0,0,0,0,0,0,0,0,0,0,0,0,0.945319634,0,0,0,0,0,0,0,0,0,0,0.482814602,0,0,0,0,0,0
TA 35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tadawul,0,0,0,0.658311449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan Weighted,0,0,0,0,0,1.788410831,0,0,0.844627004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.770422248,1.805370516,0.85957054,0,0,0,1.797211501,1.755087843,0,0,0,0.824600401,0,0,0,1.862539536,0,0,0,0,0,0,0
WIG20,0.630061404,0.573303983,0.662564415,0,0.6714735,0,0.487377986,0.710232208,1.766253178,0,0.96061567,0.607541879,0.74096087,0,0.65597715,0.57828771,0,0.688537893,0,0,0.752904136,0.542825252,0.873364395,0,0.913979403,0,0,0.721593746,0.74063041,0,0.90966391,0.860100402,0.799387405,0.60448942,0,0,0.900438783,0.941180202,0.944097987,0.993869045,0,0.777847043,0,0,0,0,0
